alpha,V_exp,V_cvar,V_cvar_montecarlo
0.0,,-3.0164074074074074,-13.154767984375011
0.01,,38.92950175835188,-6.514254369594324
0.012742749857031334,,39.03191260170956,-6.0288207618366965
0.016237767391887217,,39.177670544131146,-5.325649031577662
0.0206913808111479,,39.29847506673391,-4.51461911791003
0.02636650898730358,,39.41312924248974,-3.6115024770506983
0.03359818286283781,,39.503594064762986,-2.6727102681668073
0.04281332398719394,,39.57458723600799,-1.7573282722572097
0.0545559478116852,,39.63449393348159,-0.7832704220915799
0.06951927961775606,,39.68324710583654,0.22445100307318092
0.08858667904100823,,39.726583344312296,1.295573601235257
0.11288378916846889,,39.81644412989378,2.4912170063661865
0.14384498882876628,,39.98448967411659,3.763310833904355
0.18329807108324356,,40.13451987148171,5.046090644784555
0.23357214690901212,,40.2657760837934,6.39189068993764
0.29763514416313175,,40.38535070320779,7.896257027494598
0.37926901907322497,,40.49779336827587,9.621080299480385
0.4832930238571752,,40.67692603124847,11.43432224475135
0.615848211066026,,40.887856506989976,13.435614031969262
0.7847599703514611,,41.09094325824802,15.97350581845468
1.0,41.384249999999966,41.38424999999999,19.362559236384573
